Processing AUTOGEN_molecule_ws_1 in molecule_ws.smi (1/2210). 
Processing AUTOGEN_molecule_ws_2 in molecule_ws.smi (2/2210). 
Processing AUTOGEN_molecule_ws_4 in molecule_ws.smi (4/2210). Average speed: 0,60 s/mol.
Processing AUTOGEN_molecule_ws_3 in molecule_ws.smi (3/2210). Average speed: 1,11 s/mol.
Processing AUTOGEN_molecule_ws_5 in molecule_ws.smi (5/2210). Average speed: 0,49 s/mol.
Processing AUTOGEN_molecule_ws_6 in molecule_ws.smi (6/2210). Average speed: 0,38 s/mol.
Processing AUTOGEN_molecule_ws_8 in molecule_ws.smi (8/2210). Average speed: 0,34 s/mol.
Processing AUTOGEN_molecule_ws_7 in molecule_ws.smi (7/2210). Average speed: 0,34 s/mol.
Processing AUTOGEN_molecule_ws_9 in molecule_ws.smi (9/2210). Average speed: 0,27 s/mol.
Processing AUTOGEN_molecule_ws_10 in molecule_ws.smi (10/2210). Average speed: 0,24 s/mol.
Processing AUTOGEN_molecule_ws_11 in molecule_ws.smi (11/2210). Average speed: 0,22 s/mol.
Processing AUTOGEN_molecule_ws_12 in molecule_ws.smi (12/2210). Average speed: 0,21 s/mol.
Processing AUTOGEN_molecule_ws_13 in molecule_ws.smi (13/2210). Average speed: 0,20 s/mol.
Processing AUTOGEN_molecule_ws_14 in molecule_ws.smi (14/2210). Average speed: 0,18 s/mol.
Processing AUTOGEN_molecule_ws_15 in molecule_ws.smi (15/2210). Average speed: 0,17 s/mol.
Processing AUTOGEN_molecule_ws_16 in molecule_ws.smi (16/2210). Average speed: 0,16 s/mol.
Processing AUTOGEN_molecule_ws_17 in molecule_ws.smi (17/2210). Average speed: 0,16 s/mol.
Processing AUTOGEN_molecule_ws_18 in molecule_ws.smi (18/2210). Average speed: 0,15 s/mol.
Processing AUTOGEN_molecule_ws_19 in molecule_ws.smi (19/2210). Average speed: 0,14 s/mol.
Processing AUTOGEN_molecule_ws_20 in molecule_ws.smi (20/2210). Average speed: 0,14 s/mol.
Processing AUTOGEN_molecule_ws_21 in molecule_ws.smi (21/2210). Average speed: 0,13 s/mol.
Processing AUTOGEN_molecule_ws_22 in molecule_ws.smi (22/2210). Average speed: 0,13 s/mol.
Processing AUTOGEN_molecule_ws_23 in molecule_ws.smi (23/2210). Average speed: 0,12 s/mol.
Processing AUTOGEN_molecule_ws_24 in molecule_ws.smi (24/2210). Average speed: 0,13 s/mol.
Processing AUTOGEN_molecule_ws_25 in molecule_ws.smi (25/2210). Average speed: 0,12 s/mol.
Processing AUTOGEN_molecule_ws_26 in molecule_ws.smi (26/2210). Average speed: 0,12 s/mol.
Processing AUTOGEN_molecule_ws_27 in molecule_ws.smi (27/2210). Average speed: 0,11 s/mol.
Processing AUTOGEN_molecule_ws_29 in molecule_ws.smi (29/2210). Average speed: 0,11 s/mol.
Processing AUTOGEN_molecule_ws_28 in molecule_ws.smi (28/2210). Average speed: 0,11 s/mol.
Processing AUTOGEN_molecule_ws_30 in molecule_ws.smi (30/2210). Average speed: 0,10 s/mol.
Processing AUTOGEN_molecule_ws_31 in molecule_ws.smi (31/2210). Average speed: 0,11 s/mol.
Processing AUTOGEN_molecule_ws_32 in molecule_ws.smi (32/2210). Average speed: 0,10 s/mol.
Processing AUTOGEN_molecule_ws_33 in molecule_ws.smi (33/2210). Average speed: 0,10 s/mol.
Processing AUTOGEN_molecule_ws_34 in molecule_ws.smi (34/2210). Average speed: 0,10 s/mol.
Processing AUTOGEN_molecule_ws_35 in molecule_ws.smi (35/2210). Average speed: 0,10 s/mol.
Processing AUTOGEN_molecule_ws_36 in molecule_ws.smi (36/2210). Average speed: 0,10 s/mol.
Processing AUTOGEN_molecule_ws_37 in molecule_ws.smi (37/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_38 in molecule_ws.smi (38/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_39 in molecule_ws.smi (39/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_40 in molecule_ws.smi (40/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_41 in molecule_ws.smi (41/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_42 in molecule_ws.smi (42/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_43 in molecule_ws.smi (43/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_44 in molecule_ws.smi (44/2210). Average speed: 0,09 s/mol.
Processing AUTOGEN_molecule_ws_45 in molecule_ws.smi (45/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_46 in molecule_ws.smi (46/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_47 in molecule_ws.smi (47/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_48 in molecule_ws.smi (48/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_49 in molecule_ws.smi (49/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_50 in molecule_ws.smi (50/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_51 in molecule_ws.smi (51/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_52 in molecule_ws.smi (52/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_53 in molecule_ws.smi (53/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_54 in molecule_ws.smi (54/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_55 in molecule_ws.smi (55/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_56 in molecule_ws.smi (56/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_57 in molecule_ws.smi (57/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_58 in molecule_ws.smi (58/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_59 in molecule_ws.smi (59/2210). Average speed: 0,08 s/mol.
Processing AUTOGEN_molecule_ws_60 in molecule_ws.smi (60/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_61 in molecule_ws.smi (61/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_62 in molecule_ws.smi (62/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_63 in molecule_ws.smi (63/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_64 in molecule_ws.smi (64/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_65 in molecule_ws.smi (65/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_66 in molecule_ws.smi (66/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_67 in molecule_ws.smi (67/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_68 in molecule_ws.smi (68/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_69 in molecule_ws.smi (69/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_70 in molecule_ws.smi (70/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_71 in molecule_ws.smi (71/2210). Average speed: 0,07 s/mol.
Processing AUTOGEN_molecule_ws_72 in molecule_ws.smi (72/2210). Average speed: 0,07 s/mol.
